,user_id,recomendations
245,246,"[874972, 872137, 1070803, 13877192, 1048472]"
246,247,"[1000753, 872137, 1070803, 1134292, 905636]"
247,248,"[1015785, 872137, 1070803, 862732, 1093113]"
248,249,"[1038663, 1070803, 1082185, 1053690, 943233]"
249,250,"[1075007, 872137, 1070803, 923169, 1076875]"
250,251,"[874972, 1070803, 1082185, 965693, 999639]"
251,252,"[874972, 1029743, 1082185, 951590, 1127831]"
252,253,"[863762, 1070803, 894360, 922561, 965693]"
253,254,"[874972, 872137, 919534, 862535, 1122568]"
254,255,"[874972, 872137, 1070803, 1115576, 1082212]"
255,256,"[1065538, 1070803, 951590, 1111786, 1101706]"
256,257,"[1038663, 1070803, 5569230, 1093413, 918046]"
257,258,"[1048257, 1070803, 951590, 909894, 935968]"
258,259,"[1075007, 872137, 1082185, 5568729, 1087605]"
259,260,"[849202, 872137, 1082185, 1028816, 913210]"
260,261,"[874972, 1029743, 1082185, 951590, 1127831]"
261,262,"[1013928, 1070803, 951590, 946839, 1136257]"
262,263,"[5568758, 1070803, 1067443, 12427353, 831063]"
263,264,"[12262778, 872137, 1070803, 7025106, 934427]"
264,265,"[917384, 872137, 1048237, 873627, 961554]"
265,266,"[1129049, 1070803, 951590, 1104349, 972191]"
266,267,"[874972, 872137, 919534, 935393, 1134522]"
267,268,"[874972, 872137, 1082185, 951590, 840361]"
268,269,"[5995129, 872137, 1117219, 1139782, 962229]"
269,270,"[863762, 872137, 1070803, 1053690, 1106523]"
270,271,"[1129049, 872137, 1082185, 7462562, 1135834]"
271,272,"[874972, 1029743, 1082185, 951590, 1127831]"
272,273,"[930283, 872137, 1117219, 1053690, 6534480]"
273,274,"[874972, 872137, 919534, 883932, 1106523]"
274,275,"[12810389, 1070803, 951590, 918638, 1081262]"
275,276,"[12810391, 1070803, 918046, 944534, 1052912]"
276,277,"[1069312, 872137, 1070803, 844179, 1100972]"
277,278,"[866548, 872137, 1070803, 895680, 917384]"
278,279,"[5995129, 872137, 1068957, 1082212, 919534]"
279,280,"[959737, 872137, 1070803, 1044078, 916122]"
280,281,"[12262978, 872137, 1070803, 999104, 854852]"
281,282,"[1118623, 1070803, 951590, 957736, 1130581]"
282,283,"[1108094, 1070803, 1029743, 5568249, 1110111]"
283,284,"[874972, 1082185, 1106523, 951590, 1127831]"
284,285,"[1000753, 1070803, 1127831, 827667, 969866]"
285,286,"[874972, 1117219, 1070803, 845208, 872137]"
286,287,"[1069312, 1117219, 1070803, 969866, 1082185]"
287,288,"[919766, 872137, 1070803, 1054539, 5577022]"
288,289,"[1048257, 1070803, 951590, 945662, 1055504]"
289,290,"[1038663, 1070803, 916122, 962229, 907631]"
290,291,"[1002787, 1070803, 951590, 1109948, 844165]"
291,292,"[1013928, 872137, 1070803, 933835, 1106523]"
292,293,"[8203342, 1070803, 962229, 9553382, 12132685]"
293,294,"[1025535, 1070803, 1117219, 905087, 932949]"
294,295,"[874972, 1082185, 1106523, 951590, 1127831]"
295,296,"[874972, 872137, 919534, 1055504, 913785]"
296,297,"[874972, 1070803, 1127831, 1043920, 853622]"
297,298,"[874972, 1029743, 1082185, 951590, 1127831]"
298,299,"[874972, 1082185, 1106523, 951590, 1127831]"
299,300,"[970747, 1070803, 995242, 1096317, 932298]"
300,301,"[874972, 1070803, 981760, 1094924, 898510]"
301,302,"[982469, 7024847, 1070803, 892531, 872137]"
302,303,"[1034176, 1070803, 1117219, 895930, 6534074]"
303,304,"[930283, 1127831, 1126899, 6979753, 873627]"
304,305,"[1034176, 1082185, 951590, 6463727, 885290]"
305,306,"[12731432, 1070803, 916122, 878442, 12782182]"
306,307,"[1014732, 872137, 1070803, 933835, 877447]"
307,308,"[874972, 1070803, 1082185, 961620, 963835]"
308,309,"[1054402, 872137, 1070803, 1037965, 994223]"
309,310,"[874972, 1029743, 1082185, 951590, 1127831]"
310,311,"[1110111, 872137, 1070803, 1106523, 908181]"
311,312,"[874972, 868888, 1082185, 961620, 10121965]"
312,313,"[874972, 1082185, 1106523, 951590, 1127831]"
313,314,"[1054402, 911017, 1070803, 1053628, 1009187]"
314,315,"[874972, 872137, 919534, 1028816, 1085604]"
315,316,"[874972, 872137, 1070803, 859154, 934369]"
316,317,"[1065017, 1070803, 5569230, 9297403, 849870]"
317,318,"[1021324, 872137, 1082185, 7025203, 1134522]"
318,319,"[982469, 1070803, 1127831, 990797, 5569230]"
319,320,"[1054402, 872137, 1082185, 1121636, 8090539]"
320,321,"[1048257, 1070803, 5569230, 5580166, 7166791]"
321,322,"[1069312, 1070803, 1082185, 1135552, 934156]"
322,323,"[874972, 1029743, 1082185, 951590, 1127831]"
323,324,"[919766, 1070803, 951590, 888178, 1010681]"
324,325,"[1048257, 1068957, 1070803, 976199, 1029743]"
325,326,"[1013928, 872137, 919534, 8090521, 1037840]"
326,327,"[874972, 1029743, 1082185, 951590, 1127831]"
327,328,"[1048257, 1029743, 981760, 972191, 885290]"
328,329,"[948670, 872137, 1070803, 977497, 934369]"
329,330,"[874972, 872137, 1070803, 1092026, 14025461]"
330,331,"[874972, 872137, 1070803, 1004906, 917381]"
331,332,"[970747, 1070803, 1106523, 1065593, 1037340]"
332,333,"[874972, 1029743, 951590, 1082185, 1127831]"
333,334,"[930283, 7024847, 1070803, 1125391, 847982]"
334,335,"[9677366, 872137, 1070803, 847982, 1004906]"
335,336,"[1013928, 1070803, 951590, 1086483, 835300]"
336,337,"[12731432, 872137, 1082185, 1092937, 1015141]"
337,338,"[1015785, 872137, 1070803, 1028816, 1026118]"
338,339,"[12731432, 872137, 1070803, 1106523, 6533936]"
339,340,"[906335, 1070803, 951590, 872137, 1054215]"
340,341,"[874972, 1029743, 1082185, 951590, 1127831]"
341,342,"[9677366, 1068957, 1082185, 1037965, 838097]"
342,343,"[917384, 1082185, 951590, 5568378, 981760]"
343,344,"[917384, 1070803, 5569230, 1104343, 981760]"
344,345,"[833940, 1070803, 1070820, 1031087, 1048483]"
345,346,"[12731685, 1070803, 5569230, 9245108, 1101010]"
346,347,"[874972, 1082185, 1106523, 951590, 1127831]"
347,348,"[947858, 1070803, 951590, 959179, 1044188]"
348,349,"[874972, 872137, 919534, 844179, 913785]"
349,350,"[1075007, 872137, 1117219, 885697, 1110244]"
350,351,"[8020166, 1070803, 916122, 1091383, 865456]"
351,352,"[874972, 1029743, 1082185, 951590, 1127831]"
352,353,"[970866, 1018050, 1070803, 13008321, 1134810]"
353,354,"[849202, 1070803, 911017, 860703, 996156]"
354,355,"[874972, 1029743, 1082185, 951590, 1127831]"
355,356,"[948670, 872137, 1082185, 1041796, 1049735]"
356,357,"[874972, 1070803, 951590, 1082185, 872137]"
357,358,"[1021324, 1068957, 1070803, 937626, 873627]"
358,359,"[874972, 1082185, 1106523, 951590, 1127831]"
359,360,"[874972, 872137, 919534, 5568378, 5569327]"
360,361,"[12810464, 1070803, 1126899, 5568072, 917033]"
361,362,"[919766, 872137, 1082185, 986912, 1022254]"
362,363,"[874972, 1029743, 1082185, 951590, 1127831]"
363,364,"[874972, 1127831, 995242, 1082185, 951590]"
364,365,"[982469, 1070803, 916122, 943169, 953561]"
365,366,"[12731432, 872137, 1070803, 8090509, 12810422]"
366,367,"[9524291, 1070803, 951590, 1047769, 823775]"
367,368,"[848029, 872137, 1068957, 919534, 9859128]"
368,369,"[1000753, 872137, 1082185, 840361, 1065331]"
369,370,"[874972, 1029743, 1082185, 951590, 1127831]"
370,371,"[1054402, 1070803, 1106523, 919423, 1058404]"
371,372,"[874972, 1106523, 951590, 1082185, 1127831]"
372,373,"[874972, 1029743, 1082185, 951590, 1127831]"
373,374,"[1108094, 1018050, 1070803, 1015296, 1075786]"
374,375,"[874972, 872137, 919534, 8090532, 965766]"
375,376,"[1069312, 1082185, 1127831, 965766, 917816]"
376,377,"[956599, 1070803, 951590, 994223, 1094924]"
377,378,"[948670, 872137, 1082185, 916990, 944534]"
378,379,"[874972, 1029743, 1082185, 951590, 1127831]"
379,380,"[1013928, 1070803, 868888, 1098284, 845193]"
380,381,"[878715, 1070803, 1127831, 1075368, 1081177]"
381,382,"[1069312, 872137, 919534, 999250, 1070803]"
382,383,"[1057749, 1070803, 951590, 1092588, 8090546]"
383,384,"[1065538, 1070803, 1044078, 1068957, 999090]"
384,385,"[878715, 1070803, 1117219, 856252, 965842]"
385,386,"[849202, 820486, 1070803, 1083787, 1088191]"
386,387,"[1108094, 1070803, 1117219, 1009719, 902856]"
387,388,"[874972, 872137, 1082185, 1006184, 995965]"
388,389,"[12810391, 1070803, 820486, 10344585, 8090536]"
389,390,"[863762, 872137, 1070803, 1053690, 5569230]"
390,391,"[826666, 872137, 1070803, 939965, 1053530]"
391,392,"[12262830, 1070803, 868888, 1028473, 6034577]"
392,393,"[1013928, 1117219, 1070803, 1031316, 870428]"
393,394,"[948670, 872137, 1070803, 1107973, 1048068]"
394,395,"[906844, 872137, 1068957, 1053690, 986912]"
395,396,"[866548, 872137, 1070803, 991268, 1075368]"
396,397,"[919766, 1070803, 1127831, 1101173, 1015280]"
397,398,"[1129049, 872137, 1070803, 1075979, 1037840]"
398,399,"[874972, 1029743, 1127831, 1082185, 951590]"
399,400,"[9524291, 1070803, 918046, 1036347, 963835]"
400,401,"[9835223, 872137, 1070803, 856060, 988835]"
401,402,"[849202, 872137, 1082185, 997128, 854852]"
402,403,"[12731685, 872137, 1070803, 944534, 863447]"
403,404,"[864893, 1082185, 1127831, 1092588, 990656]"
404,405,"[948670, 1070803, 5569230, 845193, 1101010]"
405,406,"[938138, 1070803, 951590, 957951, 1082185]"
406,407,"[874972, 872137, 919534, 983584, 1097001]"
407,408,"[1034176, 872137, 1070803, 5569327, 5569230]"
408,409,"[1110111, 1070803, 951590, 8090513, 1110255]"
409,410,"[947858, 872137, 1070803, 948650, 999858]"
410,411,"[1082627, 1070803, 1044078, 1092937, 13841744]"
411,412,"[1004613, 868888, 1082185, 982360, 12428436]"
412,413,"[1048257, 951590, 844179, 986912, 5569230]"
413,414,"[12262978, 1117219, 1070803, 12349795, 12301109]"
414,415,"[864893, 872137, 919534, 1062572, 1090884]"
415,416,"[874972, 1106523, 951590, 1082185, 1127831]"
416,417,"[1075007, 1070803, 951590, 1102927, 822140]"
417,418,"[1134483, 1070803, 5569230, 1112825, 1134161]"
418,419,"[1014732, 872137, 868888, 5569230, 8014645]"
419,420,"[874972, 1082185, 1126899, 951590, 1127831]"
420,421,"[1103808, 868888, 1070803, 1110572, 5570109]"
421,422,"[1025535, 872137, 1070803, 15926886, 1070702]"
422,423,"[874972, 1029743, 951590, 1082185, 1127831]"
423,424,"[849202, 1070803, 951590, 950206, 844179]"
424,425,"[959737, 1070803, 951590, 870428, 13945244]"
425,426,"[9677366, 1070803, 951590, 1011926, 909338]"
426,427,"[919766, 872137, 919534, 1082185, 5569845]"
427,428,"[874972, 1070803, 951590, 1101010, 1053690]"
428,429,"[948670, 872137, 1070803, 909714, 1029743]"
429,430,"[1048257, 872137, 1070803, 1006483, 843744]"
430,431,"[948670, 872137, 1070803, 962229, 1070820]"
431,432,"[1013928, 1082185, 951590, 1044078, 1089766]"
432,433,"[874972, 872137, 1070803, 849003, 5565202]"
433,434,"[836445, 1068957, 1070803, 1046587, 1096099]"
434,435,"[874972, 872137, 919534, 909714, 1117514]"
435,436,"[12262978, 1070803, 5569230, 998444, 902172]"
436,437,"[948670, 1070803, 1068957, 6534074, 1053690]"
437,438,"[968072, 1070803, 986912, 9881593, 873902]"
438,439,"[874972, 872137, 1082185, 883932, 1031316]"
439,440,"[874972, 1029743, 1082185, 951590, 1127831]"
440,441,"[906844, 872137, 1070803, 834382, 1082185]"
441,442,"[849202, 1070803, 951590, 979707, 961554]"
442,443,"[848029, 1070803, 951590, 9396705, 8014645]"
443,444,"[874972, 1029743, 1127831, 1082185, 951590]"
444,445,"[829291, 1082185, 951590, 872137, 1032950]"
445,446,"[874972, 1029743, 1082185, 951590, 1127831]"
446,447,"[874972, 872137, 1117219, 1057260, 1118533]"
447,448,"[899019, 872137, 919534, 1082185, 995965]"
448,449,"[1034176, 872137, 1070803, 9934800, 909396]"
449,450,"[863762, 872137, 1070803, 998206, 1024051]"
450,451,"[956599, 872137, 5569230, 1070803, 1068292]"
451,452,"[874972, 1106523, 951590, 1082185, 1127831]"
452,453,"[864893, 872137, 1068957, 944454, 843689]"
453,454,"[1021324, 1070803, 1126899, 1083787, 1044805]"
454,455,"[874972, 1082185, 1106523, 951590, 1127831]"
455,456,"[1108094, 911017, 1070803, 8090536, 824193]"
456,457,"[874972, 872137, 1082185, 1022254, 885697]"
457,458,"[12810391, 872137, 1082185, 5569230, 5569471]"
458,459,"[863762, 872137, 918046, 972312, 885290]"
459,460,"[874972, 872137, 1070803, 1052912, 1082185]"
460,461,"[12262778, 872137, 1070803, 918684, 897954]"
461,462,"[874972, 872137, 1070803, 1045586, 6513604]"
462,463,"[12262978, 872137, 1070803, 1046689, 1055504]"
463,464,"[9677366, 1070803, 1082185, 5571444, 905636]"
464,465,"[874972, 872137, 1070803, 1112825, 1055155]"
465,466,"[12810464, 872137, 919534, 895652, 1044078]"
466,467,"[878715, 1070803, 5569230, 6979089, 9296804]"
467,468,"[1118946, 1070803, 1127831, 1131506, 908504]"
